user_id,video_id,category,length_sec,watch_time_sec,liked,shared,commented,follow_creator,group,date,engagement,engaged
8572,506,sports,37,25,1,0,0,0,control,2025-08-08 11:00:15.195387,1,1
8685,1251,sports,37,28,1,0,0,0,variant,2025-07-21 11:00:15.195387,1,1
7209,1858,music,6,3,1,0,0,0,variant,2025-07-25 11:00:15.195387,1,1
5277,12,comedy,26,19,1,0,0,0,variant,2025-08-02 11:00:15.195387,1,1
2063,93,sports,16,16,1,0,0,0,control,2025-08-12 11:00:15.195387,1,1
65,330,fashion,6,4,1,0,0,0,variant,2025-07-31 11:00:15.195387,1,1
8007,190,sports,41,25,1,0,0,0,variant,2025-07-20 11:00:15.195387,1,1
2569,1622,fashion,12,11,1,0,0,0,variant,2025-07-21 11:00:15.195387,1,1
5464,866,fashion,21,13,0,0,0,0,variant,2025-07-16 11:00:15.195387,0,0
2028,954,food,8,1,0,0,0,0,control,2025-07-24 11:00:15.195387,0,0
2696,1022,sports,48,26,1,0,0,0,control,2025-07-29 11:00:15.195387,1,1
9688,1813,food,5,4,1,1,0,0,variant,2025-07-20 11:00:15.195387,2,1
5259,293,fashion,10,10,1,0,0,0,variant,2025-07-17 11:00:15.195387,1,1
5619,261,food,44,32,0,0,0,0,control,2025-07-30 11:00:15.195387,0,0
6737,710,comedy,26,20,0,0,0,0,control,2025-07-23 11:00:15.195387,0,0
392,1952,fashion,39,29,0,0,0,0,variant,2025-08-01 11:00:15.195387,0,0
5893,323,fashion,54,38,0,0,0,1,variant,2025-08-01 11:00:15.195387,0,0
3562,10,food,44,32,1,0,0,0,variant,2025-08-09 11:00:15.195387,1,1
6185,965,sports,15,12,1,0,0,0,control,2025-08-12 11:00:15.195387,1,1
3100,88,fashion,6,4,1,1,0,0,control,2025-07-25 11:00:15.195387,2,1
6279,340,music,22,18,1,1,0,0,control,2025-08-02 11:00:15.195387,2,1
8393,1342,sports,13,11,1,0,0,0,variant,2025-08-06 11:00:15.195387,1,1
3105,1573,dance,10,8,1,0,0,0,variant,2025-07-25 11:00:15.195387,1,1
7216,1247,music,38,23,0,1,0,0,variant,2025-07-29 11:00:15.195387,1,1
2455,687,dance,16,8,0,0,0,0,variant,2025-07-19 11:00:15.195387,0,0
8997,209,sports,25,14,1,1,0,0,control,2025-08-08 11:00:15.195387,2,1
2732,1073,sports,30,24,1,0,1,0,variant,2025-07-21 11:00:15.195387,2,1
8155,1560,comedy,14,13,1,1,0,0,variant,2025-08-09 11:00:15.195387,2,1
9763,1874,food,20,13,0,0,0,0,control,2025-07-29 11:00:15.195387,0,0
5057,922,dance,19,14,1,0,0,0,variant,2025-07-22 11:00:15.195387,1,1
8111,1642,dance,27,18,1,0,0,0,variant,2025-07-14 11:00:15.195387,1,1
3841,1847,gaming,46,29,1,1,0,0,control,2025-07-19 11:00:15.195387,2,1
1029,263,gaming,25,18,1,0,0,0,variant,2025-08-08 11:00:15.195387,1,1
7386,1230,gaming,47,30,0,0,0,0,control,2025-08-08 11:00:15.195387,0,0
503,1705,gaming,20,9,0,0,0,0,control,2025-08-06 11:00:15.195387,0,0
6911,1521,dance,15,10,0,0,1,0,control,2025-07-14 11:00:15.195387,1,1
9063,1922,comedy,24,19,1,0,1,0,control,2025-08-10 11:00:15.195387,2,1
6939,670,gaming,25,17,1,0,0,0,control,2025-07-24 11:00:15.195387,1,1
4489,1777,dance,20,13,1,0,0,0,variant,2025-08-07 11:00:15.195387,1,1
207,1489,comedy,57,38,1,0,0,0,variant,2025-07-26 11:00:15.195387,1,1
5135,1659,comedy,15,9,1,0,0,0,control,2025-07-30 11:00:15.195387,1,1
5978,20,gaming,37,29,1,0,0,0,control,2025-08-05 11:00:15.195387,1,1
7722,568,dance,26,16,0,0,0,0,variant,2025-08-02 11:00:15.195387,0,0
7036,970,music,29,20,0,0,0,0,variant,2025-08-02 11:00:15.195387,0,0
1485,1816,dance,37,23,1,0,0,0,variant,2025-07-19 11:00:15.195387,1,1
7859,1132,fashion,41,26,1,0,0,0,variant,2025-07-31 11:00:15.195387,1,1
864,140,fashion,60,40,1,0,0,0,variant,2025-08-10 11:00:15.195387,1,1
2791,1115,comedy,38,27,1,1,1,0,control,2025-07-31 11:00:15.195387,3,1
7409,271,sports,19,9,0,0,0,0,variant,2025-08-12 11:00:15.195387,0,0
8756,1353,fashion,5,1,0,0,0,0,control,2025-07-30 11:00:15.195387,0,0
5117,1234,gaming,56,36,1,0,0,0,control,2025-08-10 11:00:15.195387,1,1
6020,1712,fashion,8,2,1,0,0,0,control,2025-07-19 11:00:15.195387,1,1
1758,1597,comedy,21,15,1,0,0,0,control,2025-07-23 11:00:15.195387,1,1
7575,1479,fashion,32,18,1,0,0,0,control,2025-07-16 11:00:15.195387,1,1
6375,284,music,36,23,0,0,0,0,control,2025-08-10 11:00:15.195387,0,0
6893,366,music,12,3,0,0,0,0,variant,2025-07-16 11:00:15.195387,0,0
1679,484,music,40,25,1,0,1,0,control,2025-08-08 11:00:15.195387,2,1
3243,3,fashion,40,24,1,0,1,0,variant,2025-08-01 11:00:15.195387,2,1
4637,1004,fashion,23,18,1,1,0,0,variant,2025-07-16 11:00:15.195387,2,1
1060,784,music,60,41,1,0,0,0,variant,2025-07-18 11:00:15.195387,1,1
6669,164,food,28,18,1,0,0,0,variant,2025-07-30 11:00:15.195387,1,1
9915,388,dance,7,5,1,0,0,0,control,2025-07-16 11:00:15.195387,1,1
3158,995,comedy,18,12,1,1,0,0,control,2025-07-23 11:00:15.195387,2,1
5916,1033,music,36,23,1,1,0,0,control,2025-07-23 11:00:15.195387,2,1
9790,1016,fashion,16,12,1,0,0,0,variant,2025-08-05 11:00:15.195387,1,1
2694,1390,comedy,59,40,1,0,0,0,variant,2025-07-21 11:00:15.195387,1,1
3628,12,fashion,35,29,1,0,0,0,control,2025-07-15 11:00:15.195387,1,1
9556,74,comedy,38,26,1,0,0,0,variant,2025-07-22 11:00:15.195387,1,1
5451,238,fashion,35,18,0,0,0,0,control,2025-07-31 11:00:15.195387,0,0
1664,1836,sports,40,26,1,0,0,0,control,2025-07-31 11:00:15.195387,1,1
9722,1132,fashion,36,23,1,0,0,0,variant,2025-08-11 11:00:15.195387,1,1
5593,1986,dance,39,32,1,0,0,0,control,2025-07-18 11:00:15.195387,1,1
7393,915,fashion,36,25,1,0,0,1,variant,2025-08-08 11:00:15.195387,1,1
1307,1549,sports,20,11,1,1,0,0,variant,2025-08-09 11:00:15.195387,2,1
6777,234,gaming,5,1,0,0,0,0,control,2025-08-05 11:00:15.195387,0,0
5865,1463,gaming,51,34,0,0,0,0,control,2025-08-03 11:00:15.195387,0,0
9475,1781,food,44,34,0,0,0,0,variant,2025-07-19 11:00:15.195387,0,0
7527,1505,gaming,56,38,1,0,0,0,control,2025-08-04 11:00:15.195387,1,1
8902,1857,sports,17,15,1,0,0,0,control,2025-07-20 11:00:15.195387,1,1
5576,1116,comedy,15,9,1,0,0,0,variant,2025-07-28 11:00:15.195387,1,1
5531,872,food,55,37,1,0,0,0,control,2025-07-25 11:00:15.195387,1,1
4414,1222,gaming,15,11,1,0,0,0,control,2025-07-18 11:00:15.195387,1,1
3749,1140,food,29,24,1,1,0,0,control,2025-08-11 11:00:15.195387,2,1
664,1667,gaming,9,9,1,0,1,0,control,2025-07-14 11:00:15.195387,2,1
1999,1389,sports,25,22,1,0,0,0,variant,2025-07-25 11:00:15.195387,1,1
7995,153,fashion,39,25,1,0,0,0,variant,2025-07-17 11:00:15.195387,1,1
1496,1657,comedy,16,11,1,0,0,0,variant,2025-07-14 11:00:15.195387,1,1
3305,1132,gaming,56,42,1,1,0,0,variant,2025-08-01 11:00:15.195387,2,1
3764,1972,dance,50,28,0,0,0,0,variant,2025-07-21 11:00:15.195387,0,0
5233,528,gaming,17,11,1,0,0,0,control,2025-07-26 11:00:15.195387,1,1
1854,811,sports,7,6,1,0,0,0,variant,2025-07-30 11:00:15.195387,1,1
6586,56,sports,16,11,0,0,0,0,control,2025-07-26 11:00:15.195387,0,0
1292,1476,dance,51,32,1,0,0,0,control,2025-08-12 11:00:15.195387,1,1
3582,1416,fashion,38,29,1,0,0,0,variant,2025-08-06 11:00:15.195387,1,1
7555,615,comedy,24,13,1,0,0,0,variant,2025-07-24 11:00:15.195387,1,1
7281,1232,dance,43,35,0,0,0,0,control,2025-07-28 11:00:15.195387,0,0
1637,1534,food,56,43,1,0,0,0,control,2025-08-08 11:00:15.195387,1,1
3697,1964,gaming,54,39,1,0,0,0,control,2025-07-31 11:00:15.195387,1,1
699,934,sports,8,5,1,0,0,0,variant,2025-08-08 11:00:15.195387,1,1
4738,663,comedy,45,33,1,0,0,0,control,2025-08-04 11:00:15.195387,1,1
855,1798,gaming,47,39,1,0,0,0,variant,2025-07-19 11:00:15.195387,1,1
8165,1579,dance,53,36,1,0,0,0,control,2025-07-15 11:00:15.195387,1,1
5856,300,fashion,11,9,1,0,0,0,variant,2025-07-26 11:00:15.195387,1,1
7393,976,food,51,37,1,0,0,0,variant,2025-07-21 11:00:15.195387,1,1
6529,630,gaming,7,7,1,0,0,1,control,2025-08-06 11:00:15.195387,1,1
5250,1872,dance,50,35,0,0,0,0,variant,2025-08-07 11:00:15.195387,0,0
5173,1303,fashion,45,29,1,0,0,0,variant,2025-07-28 11:00:15.195387,1,1
1708,144,music,48,35,0,1,0,0,control,2025-07-29 11:00:15.195387,1,1
5792,1764,music,17,10,1,0,0,0,variant,2025-07-19 11:00:15.195387,1,1
9926,1228,sports,33,26,1,1,0,0,control,2025-08-04 11:00:15.195387,2,1
5536,229,fashion,45,34,1,1,0,0,variant,2025-07-16 11:00:15.195387,2,1
4932,1289,fashion,25,11,0,0,0,0,control,2025-08-02 11:00:15.195387,0,0
3511,466,comedy,50,31,1,1,0,1,variant,2025-08-11 11:00:15.195387,2,1
203,137,sports,29,20,0,0,0,0,control,2025-07-15 11:00:15.195387,0,0
4219,240,gaming,7,4,1,0,0,0,variant,2025-07-31 11:00:15.195387,1,1
8959,1722,food,34,23,1,0,0,0,control,2025-08-03 11:00:15.195387,1,1
4390,449,music,43,27,1,0,0,0,variant,2025-08-03 11:00:15.195387,1,1
2328,1339,sports,26,19,1,0,0,0,control,2025-08-09 11:00:15.195387,1,1
8005,151,dance,6,6,1,0,0,0,variant,2025-07-24 11:00:15.195387,1,1
2932,1349,comedy,13,9,1,0,0,0,variant,2025-07-27 11:00:15.195387,1,1
7778,1427,music,8,6,1,1,0,0,control,2025-07-20 11:00:15.195387,2,1
198,803,comedy,12,12,1,0,0,0,variant,2025-08-08 11:00:15.195387,1,1
7126,353,comedy,23,16,0,1,1,0,variant,2025-08-07 11:00:15.195387,2,1
1931,1975,music,25,18,1,0,0,0,variant,2025-08-10 11:00:15.195387,1,1
6288,1134,dance,18,14,1,0,0,0,variant,2025-08-10 11:00:15.195387,1,1
8801,466,fashion,5,5,1,1,1,0,control,2025-08-07 11:00:15.195387,3,1
9340,1064,fashion,45,28,1,0,0,0,variant,2025-07-19 11:00:15.195387,1,1
4283,654,food,24,16,1,0,0,0,control,2025-07-18 11:00:15.195387,1,1
2512,1364,dance,23,13,1,0,0,0,control,2025-08-03 11:00:15.195387,1,1
9987,1396,fashion,46,34,1,0,0,0,control,2025-08-08 11:00:15.195387,1,1
660,1549,dance,20,12,0,0,0,0,variant,2025-07-24 11:00:15.195387,0,0
2812,1531,comedy,14,8,0,0,0,0,variant,2025-07-20 11:00:15.195387,0,0
7099,53,fashion,6,4,1,0,0,0,variant,2025-07-24 11:00:15.195387,1,1
6547,1104,dance,5,5,1,0,0,0,control,2025-07-17 11:00:15.195387,1,1
9562,1769,gaming,12,6,0,0,0,0,variant,2025-07-17 11:00:15.195387,0,0
1987,351,food,13,10,1,0,0,0,control,2025-08-12 11:00:15.195387,1,1
8339,1575,gaming,43,29,1,0,0,0,control,2025-07-16 11:00:15.195387,1,1
2912,739,dance,46,36,0,0,0,0,variant,2025-07-17 11:00:15.195387,0,0
1735,340,dance,22,7,1,0,0,0,variant,2025-07-24 11:00:15.195387,1,1
1844,1145,music,19,12,1,0,0,0,variant,2025-07-30 11:00:15.195387,1,1
8681,65,music,46,34,1,0,0,0,control,2025-07-19 11:00:15.195387,1,1
2977,1464,sports,20,13,1,0,0,0,variant,2025-08-09 11:00:15.195387,1,1
1960,296,comedy,25,15,1,0,1,0,variant,2025-07-16 11:00:15.195387,2,1
5760,942,comedy,51,31,0,0,0,0,variant,2025-07-14 11:00:15.195387,0,0
6695,205,music,29,20,1,0,0,0,variant,2025-08-05 11:00:15.195387,1,1
2386,647,gaming,59,39,1,0,0,0,variant,2025-08-03 11:00:15.195387,1,1
4737,1581,sports,28,19,1,0,0,0,control,2025-08-05 11:00:15.195387,1,1
1803,1302,music,51,36,1,1,0,0,control,2025-07-24 11:00:15.195387,2,1
8156,135,food,20,15,1,0,0,0,variant,2025-07-28 11:00:15.195387,1,1
8121,378,food,53,31,0,0,0,1,control,2025-07-26 11:00:15.195387,0,0
6617,1076,fashion,13,9,0,0,0,0,variant,2025-07-17 11:00:15.195387,0,0
5535,1765,sports,42,26,1,1,0,0,control,2025-07-15 11:00:15.195387,2,1
4062,868,comedy,19,19,1,0,0,0,variant,2025-08-03 11:00:15.195387,1,1
263,580,food,52,35,1,0,0,0,control,2025-07-19 11:00:15.195387,1,1
6288,1017,comedy,17,17,1,1,0,0,variant,2025-07-16 11:00:15.195387,2,1
8816,710,food,58,36,0,0,0,1,control,2025-08-03 11:00:15.195387,0,0
9209,67,comedy,48,27,0,0,0,1,control,2025-08-02 11:00:15.195387,0,0
2050,3,gaming,28,19,0,1,0,0,variant,2025-08-10 11:00:15.195387,1,1
5424,1594,music,55,41,1,1,0,0,control,2025-08-02 11:00:15.195387,2,1
4549,1912,food,37,25,1,0,0,0,control,2025-08-08 11:00:15.195387,1,1
3109,1475,food,16,8,1,1,0,0,control,2025-08-01 11:00:15.195387,2,1
7159,510,food,14,7,1,0,0,0,control,2025-07-27 11:00:15.195387,1,1
7401,1792,fashion,58,42,1,0,0,0,control,2025-08-08 11:00:15.195387,1,1
3171,1892,sports,35,21,1,0,0,0,variant,2025-08-05 11:00:15.195387,1,1
9875,1462,fashion,60,44,0,0,1,0,control,2025-07-27 11:00:15.195387,1,1
2256,777,music,8,6,0,0,0,1,control,2025-08-04 11:00:15.195387,0,0
1155,1974,comedy,42,35,1,0,0,0,control,2025-08-03 11:00:15.195387,1,1
4500,2000,comedy,40,33,1,0,0,0,control,2025-08-02 11:00:15.195387,1,1
6296,1971,music,14,9,1,0,0,0,variant,2025-07-21 11:00:15.195387,1,1
6198,1552,dance,7,7,1,0,0,0,control,2025-07-26 11:00:15.195387,1,1
9889,1804,dance,26,17,0,0,0,0,control,2025-07-23 11:00:15.195387,0,0
1649,102,music,53,36,0,0,0,0,variant,2025-07-23 11:00:15.195387,0,0
5540,1940,comedy,25,18,1,0,0,0,control,2025-07-23 11:00:15.195387,1,1
9638,1461,food,42,29,1,0,0,0,control,2025-07-24 11:00:15.195387,1,1
4200,799,sports,50,33,1,0,0,0,variant,2025-08-12 11:00:15.195387,1,1
8446,734,dance,42,30,1,1,0,0,control,2025-07-25 11:00:15.195387,2,1
2558,1045,food,50,29,1,0,0,0,variant,2025-07-24 11:00:15.195387,1,1
5593,387,fashion,7,7,1,0,1,0,control,2025-07-31 11:00:15.195387,2,1
99,533,food,33,28,1,0,0,0,variant,2025-07-25 11:00:15.195387,1,1
2201,92,food,41,24,0,0,0,0,variant,2025-08-04 11:00:15.195387,0,0
2962,1820,music,55,43,1,0,0,0,variant,2025-07-15 11:00:15.195387,1,1
4974,1157,gaming,9,1,0,0,0,0,control,2025-08-11 11:00:15.195387,0,0
4434,839,music,7,7,1,0,1,0,control,2025-07-20 11:00:15.195387,2,1
2870,505,comedy,54,37,1,0,0,0,control,2025-07-24 11:00:15.195387,1,1
957,1477,fashion,34,19,1,0,0,0,variant,2025-07-16 11:00:15.195387,1,1
8353,841,music,51,34,1,0,0,0,variant,2025-08-06 11:00:15.195387,1,1
5700,687,dance,44,33,1,1,0,0,variant,2025-07-18 11:00:15.195387,2,1
6945,725,dance,56,36,0,0,0,0,control,2025-08-01 11:00:15.195387,0,0
4494,148,food,12,9,0,0,0,0,control,2025-07-22 11:00:15.195387,0,0
9493,934,music,48,36,1,0,0,0,variant,2025-07-24 11:00:15.195387,1,1
4912,1256,food,60,40,1,0,0,0,variant,2025-07-27 11:00:15.195387,1,1
3988,884,sports,17,11,1,1,1,0,variant,2025-07-16 11:00:15.195387,3,1
9720,1189,music,58,42,1,0,0,0,control,2025-07-19 11:00:15.195387,1,1
6016,314,sports,58,40,1,0,0,0,variant,2025-08-02 11:00:15.195387,1,1
1219,657,fashion,24,12,1,0,0,0,variant,2025-07-21 11:00:15.195387,1,1
4497,298,dance,58,40,0,0,0,0,control,2025-07-21 11:00:15.195387,0,0
4736,223,fashion,17,3,1,0,0,0,control,2025-07-21 11:00:15.195387,1,1
4556,353,gaming,10,1,0,0,0,0,variant,2025-07-25 11:00:15.195387,0,0
9147,416,sports,14,13,1,0,0,0,variant,2025-08-07 11:00:15.195387,1,1
8051,62,music,57,40,1,0,0,0,control,2025-07-21 11:00:15.195387,1,1
3447,608,comedy,30,26,1,0,0,0,variant,2025-07-19 11:00:15.195387,1,1
1046,624,comedy,10,7,1,0,0,0,control,2025-07-25 11:00:15.195387,1,1
6894,376,music,30,17,1,0,0,0,control,2025-07-16 11:00:15.195387,1,1
1694,599,dance,32,22,0,0,1,0,control,2025-07-15 11:00:15.195387,1,1
3437,405,dance,16,9,0,0,0,0,control,2025-07-24 11:00:15.195387,0,0
8755,929,dance,57,40,1,1,0,0,control,2025-07-26 11:00:15.195387,2,1
5896,1279,music,44,30,1,0,0,0,control,2025-08-01 11:00:15.195387,1,1
3355,1475,comedy,8,2,1,0,0,0,variant,2025-08-04 11:00:15.195387,1,1
226,390,gaming,28,19,0,0,0,0,variant,2025-07-27 11:00:15.195387,0,0
4894,1649,comedy,19,15,1,0,0,0,variant,2025-07-25 11:00:15.195387,1,1
7023,766,dance,28,23,0,0,1,0,control,2025-08-09 11:00:15.195387,1,1
9152,348,music,17,11,0,0,0,0,variant,2025-07-14 11:00:15.195387,0,0
5601,1526,music,7,2,1,0,0,0,variant,2025-07-28 11:00:15.195387,1,1
7997,1346,gaming,57,39,1,0,0,0,variant,2025-08-10 11:00:15.195387,1,1
9008,1568,comedy,31,19,1,0,1,0,control,2025-07-14 11:00:15.195387,2,1
7684,1088,dance,43,36,1,0,0,0,variant,2025-08-11 11:00:15.195387,1,1
4643,1178,gaming,49,34,1,0,0,0,variant,2025-07-23 11:00:15.195387,1,1
7680,958,dance,19,14,1,0,0,1,variant,2025-07-29 11:00:15.195387,1,1
8209,517,comedy,30,20,1,0,0,0,control,2025-08-09 11:00:15.195387,1,1
7340,1419,gaming,60,32,1,0,0,0,variant,2025-07-21 11:00:15.195387,1,1
9436,1920,dance,27,18,0,0,0,0,control,2025-07-28 11:00:15.195387,0,0
2206,330,sports,43,30,1,0,0,0,control,2025-08-06 11:00:15.195387,1,1
1070,1487,music,37,23,1,0,0,0,variant,2025-07-31 11:00:15.195387,1,1
3445,1746,comedy,25,19,1,0,0,0,variant,2025-07-24 11:00:15.195387,1,1
1061,1969,music,18,12,1,0,0,0,control,2025-07-24 11:00:15.195387,1,1
2328,974,fashion,17,11,1,0,0,0,variant,2025-07-20 11:00:15.195387,1,1
3421,92,dance,36,28,1,1,0,0,variant,2025-08-12 11:00:15.195387,2,1
302,1246,gaming,46,32,1,0,1,0,variant,2025-07-22 11:00:15.195387,2,1
607,190,dance,48,37,1,0,0,0,control,2025-08-11 11:00:15.195387,1,1
3171,572,fashion,16,16,1,0,0,0,control,2025-07-24 11:00:15.195387,1,1
700,205,food,56,38,0,0,1,0,variant,2025-07-21 11:00:15.195387,1,1
5089,212,sports,14,11,0,0,1,0,control,2025-08-06 11:00:15.195387,1,1
9332,770,sports,26,21,0,0,0,0,control,2025-08-11 11:00:15.195387,0,0
191,89,comedy,51,34,1,0,0,0,control,2025-08-03 11:00:15.195387,1,1
981,1772,fashion,29,21,1,1,0,0,control,2025-07-31 11:00:15.195387,2,1
2976,955,music,48,28,1,1,0,0,variant,2025-08-03 11:00:15.195387,2,1
6103,363,food,56,35,1,0,0,0,control,2025-07-25 11:00:15.195387,1,1
1185,1395,dance,51,34,0,0,0,0,variant,2025-07-23 11:00:15.195387,0,0
3328,332,food,33,26,1,0,0,0,control,2025-08-02 11:00:15.195387,1,1
3395,921,fashion,11,9,0,0,0,0,control,2025-07-22 11:00:15.195387,0,0
8320,708,sports,54,36,1,1,0,0,control,2025-07-30 11:00:15.195387,2,1
